Date,Time,Para_name,Value,Dimension
01/29/2020,11:02:23,PYGEN_READ,0,BIN
01/29/2020,11:09:09,PYGEN_READ,1,BIN
01/29/2020,11:09:09,Date,Time,Para_name,Value,Dimension
01/29/2020,11:09:09,GEN_V_L1-N,0,V
01/29/2020,11:09:09,GEN_V_L2-N,0,V
01/29/2020,11:09:10,GEN_V_L3-N,0,V
01/29/2020,11:09:10,GEN_V_L1-L2,0,V
01/29/2020,11:09:10,GEN_V_L2-L3,0,V
01/29/2020,11:09:10,GEN_V_L3-L1,0,V
01/29/2020,11:09:11,GEN_I_L1,0,A
01/29/2020,11:09:11,GEN_I_L2,0,A
01/29/2020,11:09:11,GEN_I_L3,0,A
01/29/2020,11:09:11,GEN_RPM,0,RPM
01/29/2020,11:09:12,GEN_FREQ,0.0,Hz
01/29/2020,11:09:12,GEN_kW,0,kW
01/29/2020,11:09:12,GEN_kW_L1,0,kW
01/29/2020,11:09:13,GEN_kW_L2,0,kW
01/29/2020,11:09:13,GEN_kW_L3,0,kW
01/29/2020,11:09:13,GEN_NOM_kVA,800,kVA
01/29/2020,11:09:13,GEN_kVAr,0,kVAr
01/29/2020,11:09:14,GEN_KVAr_L1,0,kVAr
01/29/2020,11:09:14,GEN_kVAr_L2,0,kVAr
01/29/2020,11:09:14,GEN_kVAr_L3,0,kVAr
01/29/2020,11:09:14,GEN_PF,0.0,UNIT
01/29/2020,11:09:15,GEN_PF_L1,0.0,UNIT
01/29/2020,11:09:15,GEN_PF_L2,0.0,UNIT
01/29/2020,11:09:15,GEN_PF_L3,0.0,UNIT
01/29/2020,11:09:15,GEN_kVA,0,kVA
01/29/2020,11:09:16,GEN_kVA_L1,0,kVA
01/29/2020,11:09:16,GEN_kVA_L2,0,kVA
01/29/2020,11:09:16,GEN_kVA_L3,0,kVA
01/29/2020,11:09:16,GEN_E_FAULT,655.35,A
01/29/2020,11:09:17,BAT_VOLT,21.4,V
01/29/2020,11:09:17,CHR_VOLT,21.3,V
01/29/2020,11:09:17,OIL_PRESS,3276.8,BAR
01/29/2020,11:09:18,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,11:09:18,FUEL_LEVEL,32768,%
01/29/2020,11:09:18,PYGEN_READ,0,BIN
01/29/2020,11:09:44,PYGEN_READ,1,BIN
01/29/2020,11:09:44,Date,Time,Para_name,Value,Dimension
01/29/2020,11:09:44,GEN_V_L1-N,0,V
01/29/2020,11:09:44,GEN_V_L2-N,0,V
01/29/2020,11:09:45,GEN_V_L3-N,0,V
01/29/2020,11:09:45,GEN_V_L1-L2,0,V
01/29/2020,11:09:45,GEN_V_L2-L3,0,V
01/29/2020,11:09:45,GEN_V_L3-L1,0,V
01/29/2020,11:09:46,GEN_I_L1,0,A
01/29/2020,11:09:46,GEN_I_L2,0,A
01/29/2020,11:09:46,GEN_I_L3,0,A
01/29/2020,11:09:46,GEN_RPM,0,RPM
01/29/2020,11:09:47,GEN_FREQ,0.0,Hz
01/29/2020,11:09:47,GEN_kW,0,kW
01/29/2020,11:09:47,GEN_kW_L1,0,kW
01/29/2020,11:09:47,GEN_kW_L2,0,kW
01/29/2020,11:09:48,GEN_kW_L3,0,kW
01/29/2020,11:09:48,GEN_NOM_kVA,800,kVA
01/29/2020,11:09:48,GEN_kVAr,0,kVAr
01/29/2020,11:09:49,GEN_KVAr_L1,0,kVAr
01/29/2020,11:09:49,GEN_kVAr_L2,0,kVAr
01/29/2020,11:09:49,GEN_kVAr_L3,0,kVAr
01/29/2020,11:09:49,GEN_PF,0.0,UNIT
01/29/2020,11:09:50,GEN_PF_L1,0.0,UNIT
01/29/2020,11:09:50,GEN_PF_L2,0.0,UNIT
01/29/2020,11:09:50,GEN_PF_L3,0.0,UNIT
01/29/2020,11:09:50,GEN_kVA,0,kVA
01/29/2020,11:09:51,GEN_kVA_L1,0,kVA
01/29/2020,11:09:51,GEN_kVA_L2,0,kVA
01/29/2020,11:09:51,GEN_kVA_L3,0,kVA
01/29/2020,11:09:51,GEN_E_FAULT,655.35,A
01/29/2020,11:09:52,BAT_VOLT,21.4,V
01/29/2020,11:09:52,CHR_VOLT,21.3,V
01/29/2020,11:09:52,OIL_PRESS,3276.8,BAR
01/29/2020,11:09:53,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,11:09:53,FUEL_LEVEL,32768,%
01/29/2020,11:09:53,PYGEN_READ,0,BIN
01/29/2020,11:23:20,PYGEN_READ,1,BIN
01/29/2020,11:23:20,Date,Time,Para_name,Value,Dimension
01/29/2020,11:23:20,GEN_V_L1-N,0,V
01/29/2020,11:23:20,GEN_V_L2-N,0,V
01/29/2020,11:23:21,GEN_V_L3-N,0,V
01/29/2020,11:23:21,GEN_V_L1-L2,0,V
01/29/2020,11:23:21,GEN_V_L2-L3,0,V
01/29/2020,11:23:21,GEN_V_L3-L1,0,V
01/29/2020,11:23:22,GEN_I_L1,0,A
01/29/2020,11:23:22,GEN_I_L2,0,A
01/29/2020,11:23:22,GEN_I_L3,0,A
01/29/2020,11:23:22,GEN_RPM,0,RPM
01/29/2020,11:23:23,GEN_FREQ,0.0,Hz
01/29/2020,11:23:23,GEN_kW,0,kW
01/29/2020,11:23:23,GEN_kW_L1,0,kW
01/29/2020,11:23:23,GEN_kW_L2,0,kW
01/29/2020,11:23:24,GEN_kW_L3,0,kW
01/29/2020,11:23:24,GEN_NOM_kVA,800,kVA
